,java,,,,classicjs,,,
,10120,10150,version,byte,100,700,version,byte
,10120,10150,name,string,,,,
,10120,10150,creator,string,100,700,username,string
,10120,10150,createTime,long,,,,
,,,,,100,700,backward,string
,,,,,100,700,build,string
,,,,,100,700,chat,string
,,,,,100,700,drawDistance,byte
,,,,,100,700,fog,string
,,,,,100,700,forward,string
,,,,,100,700,fps,bool
,,,,,100,700,invert,bool
,,,,,100,700,jump,string
,,,,,100,700,left,string
,,,,,100,700,loadLoc,string
,,,,,100,700,music,bool
,,,,,100,700,right,string
,,,,,100,700,saveLoc,string
,,,,,100,700,sound,bool
,,,,,100,700,worldSeed,long
